WERKS,SCENARIO,KTOKK,VSTATU,VPATD,EKORG,EKGRP,TOTGRQTY,TOTIRQTY,NODLGR,NODLIR,DIFGRIRD,DIFGRIRV,STATUS
ML01,3,1,1,30,1,A,0,80,0,90,-80,-38100,1
ML01,3,1,1,30,1,A,0,107,0,177,-107,-41600,0
ML01,3,1,1,30,1,A,0,146,0,192,-146,-73500,0
ML01,3,1,1,60,1,A,0,183,0,48,-183,-69200,0
ML01,3,1,1,60,1,A,0,185,0,79,-185,-59500,0
ML01,3,1,1,60,1,A,0,91,0,168,-91,-4700,1
ML01,3,1,1,90,1,A,0,126,0,51,-126,-7600,0
ML01,3,1,1,90,1,A,0,184,0,2,-184,-35800,0
ML01,3,1,1,90,1,A,0,172,0,152,-172,-30900,0
ML01,3,1,1,30,1,A,0,116,0,142,-116,-29100,1
ML01,3,1,1,30,1,A,0,113,0,4,-113,-63300,0
ML01,3,1,1,30,1,A,0,182,0,82,-182,-59300,0
ML01,3,1,1,30,1,A,0,109,0,115,-109,-55200,0
ML01,3,1,1,30,1,A,0,136,0,71,-136,-16400,1
ML01,3,1,1,60,1,A,0,177,0,9,-177,-24800,0
ML01,3,1,1,60,1,A,0,93,0,165,-93,-18900,1
ML01,3,1,1,60,1,A,0,105,0,205,-105,-71300,0
ML01,3,1,1,90,1,A,0,86,0,77,-86,-59600,0
ML01,3,1,1,90,1,A,0,184,0,48,-184,-64900,0
ML01,3,1,1,90,1,A,0,59,0,190,-59,-15300,1
ML01,3,1,1,90,1,A,0,74,0,112,-74,-51300,0
ML01,3,2,1,30,1,A,0,53,0,168,-53,-73600,0
ML01,3,2,1,30,1,A,0,92,0,143,-92,-13900,1
ML01,3,2,1,30,1,A,0,70,0,207,-70,-19500,1
ML01,3,2,1,30,1,A,0,127,0,102,-127,-7400,1
ML01,3,2,1,30,1,A,0,68,0,47,-68,-43400,0
ML01,3,2,1,60,1,A,0,90,0,186,-90,-30500,0
ML01,3,2,1,60,1,A,0,123,0,7,-123,-1300,0
ML01,3,2,1,60,1,A,0,146,0,121,-146,-54200,0
ML01,3,2,1,60,1,A,0,50,0,135,-50,-2800,1
ML01,3,2,1,90,1,A,0,190,0,153,-190,-71200,0
ML01,3,2,1,90,1,A,0,109,0,169,-109,-58800,0
ML01,3,2,1,90,1,A,0,86,0,137,-86,-20700,0
ML01,3,2,1,90,1,A,0,143,0,165,-143,-20100,0
ML01,3,2,1,90,1,A,0,197,0,143,-197,-18000,1
ML01,3,2,1,30,1,A,0,150,0,132,-150,-34200,0
ML01,3,2,1,30,1,A,0,78,0,52,-78,-14400,1
ML01,3,2,1,30,1,A,0,182,0,205,-182,-9600,1
ML01,3,2,1,30,1,A,0,70,0,103,-70,-34900,0
ML01,3,2,1,60,1,A,0,114,0,66,-114,-41900,0
ML01,3,2,1,60,1,A,0,93,0,71,-93,-22700,1
ML01,3,2,1,60,1,A,0,116,0,135,-116,-51900,0
ML01,3,2,1,60,1,A,0,65,0,96,-65,-25100,0
ML01,3,2,1,60,1,A,0,76,0,136,-76,-45100,0
ML01,3,2,1,90,1,A,0,151,0,53,-151,-32400,0
ML01,3,2,1,90,1,A,0,166,0,53,-166,-23700,0
ML01,3,2,1,90,1,A,0,57,0,169,-57,-25500,0
ML01,3,2,1,90,1,A,0,78,0,73,-78,-64100,0
