price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,sqft_living15,sqft_lot15
221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,1340,5650
538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1690,7639
180000,2,1,770,10000,1,0,0,3,6,770,0,1933,2720,8062
604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,1360,5000
510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,1800,7503
1.23E+06,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,4760,101930
257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,2238,6819
291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,1650,9711
229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,1780,8113
323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,2390,7570
662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,2210,8925
468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,1330,6000
310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,1780,12697
400000,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,1370,10208
530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,1360,4850
650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,2140,4000
395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,1890,14018
485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,1610,4300
189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,1060,5095
230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,1280,8850
385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,1400,4980
2.00E+06,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,4110,20336
285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,2240,7005
252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,1220,8386
329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,2200,6865
233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,1030,4705
937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,1760,3573
667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,1860,3861
438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,1520,6235
719000,4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,2630,6026
580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,2580,3980
280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,1390,1756
687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,1460,5000
535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,1570,5080
322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,2020,8720
696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,1590,3264
550000,4,1,1660,34848,1,0,0,1,5,930,730,1933,2160,11467
640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,1730,4700
240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,1290,7800
605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,2620,11884
625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,2470,5669
775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,2410,30617
861990,5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,3625,5639
685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,1580,2640
309000,3,1,1280,9656,1,0,0,4,6,920,360,1959,1340,8808
488000,3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,3050,9232
210490,3,1,990,8528,1,0,0,3,6,990,0,1966,1228,8840
785000,4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,2680,13685
450000,3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,970,5100
1.35E+06,3,2.5,2753,65005,1,1,2,5,9,2165,588,1953,2680,72513
228000,3,1,1190,9199,1,0,0,3,7,1190,0,1955,1190,9364
345000,5,2.5,3150,9134,1,0,0,4,8,1640,1510,1966,1990,9133
600000,3,1.75,1410,4080,1,0,0,4,7,1000,410,1950,1410,4080
585000,2,1.75,1980,8550,1,0,0,3,7,990,990,1981,1480,6738
920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,2730,6000
885000,4,2.5,2830,5000,2,0,0,3,9,2830,0,1995,1950,5000
292500,4,2.5,2250,4495,2,0,0,3,7,2250,0,2008,2250,4500
301000,3,2.5,2420,4750,2,0,0,3,8,2420,0,2003,2690,4750
951000,5,3.25,3250,14342,2,0,4,4,8,3250,0,1968,2960,11044
430000,4,3,1850,9976,2,0,0,3,8,1850,0,1991,2270,8542
650000,3,2.25,2150,21235,1,0,3,4,8,1590,560,1959,2570,18900
289000,3,1.75,1260,8400,1,0,0,3,7,1260,0,1954,1290,8750
505000,3,1.75,2519,8690,2,0,0,5,8,2519,0,1973,2500,9500
549000,3,1.75,1540,1044,3,0,0,3,8,1540,0,2014,1580,3090
425000,3,2.25,1660,6000,1,0,0,3,7,1110,550,1979,1440,4080
317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,1440,4000
975000,4,2.5,2720,11049,2,0,0,3,10,2720,0,1989,2750,11049
287000,4,2.5,2240,4648,2,0,0,3,7,2240,0,2005,2221,4557
204000,3,1,1000,12070,1,0,0,4,7,1000,0,1968,1010,12635
1.33E+06,5,2.25,3200,20158,1,0,0,3,8,1600,1600,1965,3390,20158
1.04E+06,5,3.25,4770,50094,1,0,0,4,11,3070,1700,1973,3530,38917
325000,3,2,1260,5612,1,0,0,4,7,1260,0,1972,1640,4745
571000,4,2,2750,7807,1.5,0,0,5,7,2250,500,1916,1510,7807
360000,4,2.5,2380,5000,2,0,0,3,8,2380,0,2005,2420,5000
349000,3,1.75,1790,50529,1,0,0,5,7,1090,700,1965,1940,50529
832500,4,4,3430,35102,2,0,0,4,10,2390,1040,1986,3240,35020
380000,4,1.75,1760,7300,1,0,0,3,7,880,880,1956,1680,7500
480000,3,1,1040,5060,1,0,0,3,7,1040,0,1941,890,5060
410000,3,1,1410,5060,1,0,0,4,7,910,500,1956,1130,5693
720000,4,2.5,3450,39683,2,0,0,3,10,3450,0,2002,3350,39750
390000,3,2.5,2350,5100,2,0,0,3,8,2350,0,2003,2350,5363
360000,4,2.5,1900,5889,2,0,0,3,7,1900,0,1992,1870,6405
355000,2,1,2020,6720,1,0,0,3,7,1010,1010,1948,1720,6720
356000,3,1.5,1680,8712,1,0,0,3,8,1680,0,1964,1850,8797
315000,3,1,960,6634,1,0,0,3,6,960,0,1952,1570,7203
940000,3,1.5,2140,3600,2,0,0,3,9,1900,240,1925,2020,4800
305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,1590,8165
461000,3,3.25,2770,6278,2,0,0,3,9,1980,790,2006,1900,7349
215000,2,2.25,1610,2040,2,0,0,4,7,1610,0,1979,1950,2025
335000,2,1.75,1030,1066,2,0,0,3,7,765,265,2006,1030,1106
243500,4,2.5,1980,7403,2,0,0,3,7,1980,0,1988,1980,7510
1.10E+06,5,2.75,3520,6353,2,0,0,4,10,3520,0,2001,2520,6250
153000,3,1,1200,10500,1,0,0,3,7,1200,0,1962,1350,10500
430000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,1570,4500
700000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,1570,4500
905000,4,2.5,3300,10250,1,0,0,3,7,2390,910,1946,1950,6045
247500,3,1.75,1960,15681,1,0,0,3,7,1960,0,1967,1750,15616
199000,4,1.5,1160,6400,1,0,0,4,7,1160,0,1975,1160,6400
314000,3,1.75,1810,41800,1,0,0,5,7,1210,600,1980,1650,135036
437500,3,2.5,2320,36847,2,0,2,3,9,2320,0,1992,2550,35065
850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,2200,4500
555000,3,2,1980,3478,1.5,0,0,4,7,1440,540,1929,1610,3478
699950,3,2.25,2190,107593,2,0,0,4,8,2190,0,1983,2570,47777
1.09E+06,3,2.5,2920,8113,2,0,0,3,8,2920,0,1950,2370,8113
290000,3,1,1210,33919,1,0,0,3,7,1210,0,1954,1640,14910
375000,3,2.5,2340,10005,1,0,0,4,8,1460,880,1978,2250,8162
460000,3,1,1670,4005,1.5,0,0,4,7,1170,500,1939,1240,4005
